iter	Passed	Remaining
0	69	69361
1	72	35941
2	72	24093
3	75	18748
4	76	15135
5	81	13435
6	82	11727
7	83	10312
8	84	9351
9	87	8618
10	87	7877
11	88	7251
12	88	6726
13	88	6266
14	90	5959
15	91	5609
16	93	5428
17	98	5390
18	103	5341
19	104	5108
20	106	4983
21	109	4849
22	112	4782
23	117	4773
24	120	4683
25	120	4515
26	126	4548
27	130	4528
28	131	4409
29	132	4274
30	132	4146
31	135	4098
32	137	4041
33	141	4021
34	142	3920
35	145	3889
36	147	3849
37	157	3985
38	157	3892
39	158	3804
40	159	3721
41	159	3637
42	159	3559
43	163	3548
44	181	3841
45	183	3797
46	183	3722
47	183	3648
48	184	3578
49	187	3561
50	187	3496
51	188	3433
52	188	3373
53	193	3381
54	200	3445
55	206	3485
56	207	3432
57	207	3377
58	212	3387
59	212	3334
60	213	3286
61	216	3269
62	219	3263
63	221	3243
64	223	3219
65	226	3201
66	226	3157
67	227	3113
68	227	3070
69	232	3086
70	232	3048
71	239	3081
72	243	3094
73	244	3055
74	245	3024
75	245	2986
76	247	2961
77	247	2924
78	250	2917
79	257	2958
80	260	2951
81	273	3057
82	273	3019
83	273	2985
84	275	2965
85	277	2953
86	279	2930
87	279	2897
88	285	2921
89	285	2891
90	286	2861
91	290	2867
92	297	2903
93	298	2878
94	300	2862
95	302	2850
96	303	2822
97	304	2805
98	315	2869
99	322	2906
100	324	2888
101	329	2905
102	330	2882
103	331	2857
104	332	2831
105	345	2913
106	346	2888
107	346	2861
108	350	2867
109	353	2863
110	360	2886
111	362	2877
112	366	2880
113	367	2859
114	369	2844
115	370	2820
116	375	2831
117	375	2809
118	376	2788
119	377	2765
120	377	2742
121	377	2718
122	382	2724
123	389	2751
124	398	2788
125	403	2799
126	405	2787
127	405	2765
128	406	2744
129	406	2723
130	408	2706
131	415	2734
132	419	2734
133	422	2728
134	424	2717
135	425	2703
136	426	2684
137	426	2664
138	427	2648
139	428	2634
140	431	2630
141	432	2613
142	433	2598
143	434	2580
144	434	2564
145	436	2554
146	437	2540
147	438	2525
148	439	2511
149	440	2494
150	441	2481
151	446	2490
152	455	2519
153	457	2512
154	457	2496
155	461	2494
156	464	2495
157	470	2505
158	472	2500
159	473	2485
160	474	2471
161	476	2463
162	479	2463
163	480	2449
164	485	2455
165	486	2444
166	486	2428
167	490	2429
168	498	2449
169	503	2456
170	503	2441
171	510	2457
172	514	2459
173	518	2460
174	530	2499
175	535	2506
176	542	2523
177	544	2516
178	545	2501
179	545	2486
180	546	2471
181	546	2457
182	548	2448
183	549	2435
184	558	2459
185	558	2445
186	562	2445
187	566	2448
188	576	2474
189	582	2483
190	587	2488
191	592	2495
192	600	2509
193	603	2509
194	604	2495
195	605	2482
196	607	2477
197	613	2486
198	624	2512
199	626	2507
200	628	2496
201	629	2485
202	629	2472
203	630	2459
204	630	2445
205	631	2434
206	637	2442
207	641	2441
208	644	2438
209	649	2441
210	650	2430
211	652	2425
212	660	2440
213	665	2442
214	665	2430
215	669	2429
216	673	2428
217	673	2416
218	674	2403
219	674	2391
220	680	2399
221	686	2407
222	690	2406
223	698	2419
224	701	2416
225	704	2411
226	706	2406
227	711	2408
228	715	2409
229	719	2409
230	721	2402
231	727	2408
232	730	2406
233	731	2395
234	732	2383
235	734	2376
236	735	2366
237	739	2367
238	746	2376
239	748	2370
240	748	2358
241	749	2347
242	749	2335
243	755	2341
244	756	2330
245	759	2327
246	764	2330
247	764	2319
248	765	2308
249	769	2307
250	770	2300
251	777	2307
252	783	2312
253	783	2302
254	786	2296
255	787	2288
256	789	2282
257	797	2292
258	797	2282
259	798	2273
260	801	2270
261	804	2267
262	808	2264
263	808	2254
264	810	2246
265	810	2236
266	818	2246
267	826	2256
268	826	2246
269	827	2236
270	827	2226
271	833	2229
272	838	2233
273	839	2223
274	848	2237
275	854	2240
276	859	2242
277	863	2243
278	866	2239
279	874	2249
